index,inchi,preferred_name,formula_flat,TC [K],PC [Pa],DC [mol/m^3],TTRP [K],PTRP [Pa],MM [kg/mol],ACF [-],DIPOLE [debye],TNBP [K]
35,"InChI=1S/CClF3/c2-1(3,4)5",chlorotrifluoromethane,CClF3,302.0,3879000.0,5580.0,92.0,0.3288,0.104459,0.1723,0.51,191.67
36,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8","1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,487.21,3392199.9999999995,2988.659,236.93,1871.0,0.187375,0.25253,0.803,320.735
37,"InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9",hexafluoropropene,C3F6,358.9,3149527.9999999995,3888.8,117.654,0.0936,0.1500225192,0.333,1.088,242.81
38,"InChI=1S/C3H3F5O/c1-9-3(7,8)2(4,5)6/h1H3",methyl pentafluoroethyl ether,C3H3F5O,406.813,2886400.0,3329.0,250.0,27670.0,0.150047336,0.354,2.785,278.76
39,"InChI=1S/C4H3F7O/c1-12-4(10,11)2(5,6)3(7,8)9/h1H3",heptafluoropropyl methyl ether,C4H3F7O,437.7,2478199.9999999995,2640.0,150.65,0.05707,0.2000548424,0.403,3.13,307.328
40,"InChI=1S/C2H3Cl2F/c1-2(3,4)5/h1H3","1,1-dichloro-1-fluoroethane",C2H3Cl2F,477.5,4212000.0,3920.999999999999,169.68,6.492,0.11694962,0.2195,2.014,305.2
41,"InChI=1S/C3H2F6/c4-2(5,6)1-3(7,8)9/h1H2","1,1,1,3,3,3-hexafluoropropane",C3H2F6,398.07,3200000.0,3626.0,179.6,160.29999999999998,0.1520384,0.377,1.982,271.66
42,"InChI=1S/C3H3F5/c4-1-3(7,8)2(5)6/h2H,1H2","1,1,2,2,3-pentafluoropropane",C3H3F5,447.57,3940699.999999999,3920.0,196.0,118.3,0.13404794,0.355,1.74,298.412
43,"InChI=1S/C3H3F5/c4-2(5)1-3(6,7)8/h2H,1H2","1,1,1,3,3-pentafluoropropane",C3H3F5,427.01,3651000.0,3875.0,170.0,11.86,0.13404794,0.3783,1.549,288.198
44,"InChI=1S/CF3I/c2-1(3,4)5",trifluoroiodomethane,CF3I,396.44,3953000.0,4430.6,195.15,4884.400000000001,0.1959104,0.176,0.92,251.291
45,InChI=1S/CH3F/c1-2/h1H3,fluoromethane,CH3F,317.28,5897000.0,9300.0,129.82,344.99999999999994,0.03403292,0.2004,1.851,194.84
46,"InChI=1S/C2ClF5/c3-1(4,5)2(6,7)8","1-chloro-1,1,2,2,2-pentafluoroethane",C2ClF5,353.1,3129000.0,3980.0,173.75,2213.0,0.154466416,0.248,0.52,233.932
47,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8","1,2-dichloro-1,1,2,2-tetrafluoroethane",C2Cl2F4,418.83,3257000.0,3393.2000000000003,180.63,202.1,0.170921,0.2523,0.658,276.741
48,"InChI=1S/CCl3F/c2-1(3,4)5",trichlorofluoromethane,CCl3F,471.11,4407638.0,4032.962,162.68,6.51,0.137368,0.18875,0.45,296.858
49,"InChI=1S/C4H5F5/c1-3(5,6)2-4(7,8)9/h2H2,1H3","1,1,1,3,3-pentafluorobutane",C4H5F5,460.0,3266000.0,3200.0,239.0,2478.0,0.14807452,0.377,3.807,313.343
50,"InChI=1S/C6F12O/c7-2(4(10,11)12,5(13,14)15)1(19)3(8,9)6(16,17)18",dodecafluoro-2-methylpentan-3-one,C6F12O,441.81,1869000.0,1920.0,165.0,0.2314999999999999,0.3160444,0.471,0.43,322.202
51,"InChI=1S/C5F12/c6-1(7,2(8,9)4(12,13)14)3(10,11)5(15,16)17",perfluoropentane,C5F12,421.0,2063000.0,2170.0,148.21,0.1064,0.288034,0.436,0.0,302.453
52,"InChI=1S/C3H3F5O/c4-2(5)9-1-3(6,7)8/h2H,1H2","1,1,1-trifluoro-2-(difluoromethoxy)ethane",C3H3F5O,444.88,3433000.0,3432.258,250.0,8272.0,0.150047336,0.387,1.631,302.4
53,InChI=1S/CHCl2F/c2-1(3)4/h1H,dichlorofluoromethane,CHCl2F,451.48,5181200.0,5110.7656,142.8,0.06828,0.10292,0.2061,1.37,282.01
54,InChI=1S/C2HF3/c3-1-2(4)5/h1H,trifluoroethene,C2HF3,331.73,4542600.0,6000.0,200.0,42000.0,0.08202455,0.261,1.4,214.06
55,InChI=1S/C2H2F2/c1-2(3)4/h1H2,"1,1-difluoroethene",C2H2F2,,,,,,,,,
56,"InChI=1S/C3H2F4/c1-2(4)3(5,6)7/h1H2","2,3,3,3-tetrafluoro-1-propene",C3H2F4,367.85,3382199.9999999995,4170.0,122.77,0.738,0.1140415928,0.276,2.48,243.665
57,"InChI=1S/C3H2F4/c4-2-1-3(5,6)7/h1-2H/b2-1+","trans-1,3,3,3-tetrafluoropropene",C3H2F4,382.513,3634900.0,4290.0,169.0,228.6,0.1140416,0.313,1.27,254.177
58,"InChI=1S/C3H3F3/c1-2-3(4,5)6/h2H,1H2","1,1,1-trifluoro-2-propene",C3H3F3,376.93,3517900.0,4300.0,200.0,7307.0,0.09605113,0.2604,2.43,247.726
59,"InChI=1S/C3HClF4/c4-1-2(5)3(6,7)8/h1H/b2-1-","(Z)-1-chloro-2,3,3,3-tetrafluoropropene",C3HClF4,428.69,3337000.0,3549.9999999999995,263.0,35163.6,0.1484867,0.322,1.47,287.767
60,"InChI=1S/C4H2F6/c5-3(6,7)1-2-4(8,9)10/h1-2H/b2-1+","trans-1,1,1,4,4,4-hexafluoro-2-butene",C4H2F6,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0,-9999990.0
61,"InChI=1S/C3H2F4/c4-2-1-3(5,6)7/h1-2H/b2-1-","(Z)-1,3,3,3-tetrafluoro-1-propene",C3H2F4,423.27,3530600.0,4000.0,238.0,11942.0,0.1140416,0.327,2.9,282.878
62,"InChI=1S/C3H2ClF3/c4-2-1-3(5,6)7/h1-2H/b2-1+","(E)-1-chloro-3,3,3-trifluoroprop-1-ene",C3H2ClF3,439.6,3623699.999999999,3680.0,195.15,273.29999999999995,0.1304961999999999,0.3025,1.12,291.413
63,"InChI=1S/C4H2F6/c5-3(6,7)1-2-4(8,9)10/h1-2H/b2-1-","(Z)-1,1,1,4,4,4-hexafluorobut-2-ene",C4H2F6,444.5,2903000.0,3044.0,182.65,18.08,0.164056,0.386,2.92,306.603
64,InChI=1S/C2H2F2/c3-1-2-4/h1-2H/b2-1+,"(E)-1,2-difluoroethene",C2H2F2,,,,,,,,,
